               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063779,            0.083036,            0.021817,             0.78535,             0.10676,            0.033882,           0.0079513,            0.060125,            0.039876,            0.014998,            0.070294,           0.0033007,           0.0033007
                   1,              0.0547,            0.050051,            0.012732,             0.54583,             0.17606,            0.047244,            0.013832,            0.050449,            0.037473,              0.0149,            0.040228,           0.0065683,           0.0065683
                   2,            0.059464,            0.046617,             0.01275,             0.86372,             0.15816,             0.16076,            0.055324,            0.052204,            0.032718,            0.014497,            0.010097,             0.00977,             0.00977
                   3,            0.051994,            0.045026,            0.013217,             0.89933,             0.18004,             0.19187,            0.054131,            0.045256,            0.029743,             0.01475,            0.009703,            0.009703,            0.009703
                   4,            0.043025,            0.043046,            0.012119,             0.93629,             0.21187,             0.24822,            0.093786,            0.032471,            0.033046,             0.01275,            0.009703,            0.009703,            0.009703
                   5,            0.038115,             0.04204,            0.010628,             0.43167,             0.32267,             0.25507,            0.090726,             0.03822,            0.032433,            0.011329,            0.009604,            0.009604,            0.009604
                   6,             0.03824,             0.04017,           0.0094887,             0.44839,             0.34777,             0.25141,             0.11561,            0.032599,             0.03095,           0.0097667,            0.009505,            0.009505,            0.009505
                   7,            0.035463,            0.038462,           0.0090166,             0.52491,             0.35805,             0.25954,             0.11558,            0.030573,            0.033112,           0.0076498,            0.009406,            0.009406,            0.009406
                   8,             0.03133,             0.03781,           0.0085614,             0.69959,             0.38201,             0.38887,             0.17737,            0.028373,            0.028777,           0.0075459,            0.009307,            0.009307,            0.009307
                   9,            0.029477,            0.037264,           0.0078874,             0.74925,             0.43816,             0.43172,             0.21305,            0.027001,            0.028247,           0.0069396,            0.009208,            0.009208,            0.009208
                  10,            0.028542,              0.0353,           0.0074697,             0.81422,             0.36706,              0.3811,             0.18948,            0.024928,            0.027769,           0.0067742,            0.009109,            0.009109,            0.009109
                  11,            0.027706,            0.037252,            0.006823,              0.8343,             0.43515,             0.45926,             0.25762,            0.025897,            0.026413,           0.0059841,             0.00901,             0.00901,             0.00901
                  12,            0.025808,            0.035542,           0.0067555,             0.87891,             0.46307,             0.52582,             0.24992,             0.02209,            0.027271,           0.0054756,            0.008911,            0.008911,            0.008911
                  13,            0.027156,            0.034446,            0.006229,             0.77075,             0.52055,             0.53436,             0.30069,            0.022395,            0.027134,           0.0050872,            0.008812,            0.008812,            0.008812
                  14,            0.025137,            0.034624,           0.0059221,             0.80905,             0.55583,             0.55516,             0.26149,            0.020575,            0.026757,           0.0052211,            0.008713,            0.008713,            0.008713
                  15,            0.025289,             0.03382,           0.0054408,             0.85772,              0.5708,             0.59508,             0.32305,            0.019152,            0.026726,           0.0093437,            0.008614,            0.008614,            0.008614
                  16,            0.024397,            0.035035,           0.0051961,             0.81819,             0.58969,             0.56966,              0.2973,            0.018909,            0.025809,            0.010167,            0.008515,            0.008515,            0.008515
                  17,            0.024379,            0.033636,           0.0051633,             0.87252,             0.61532,             0.60507,             0.35746,            0.019574,            0.025645,           0.0040363,            0.008416,            0.008416,            0.008416
                  18,            0.023781,             0.03315,           0.0043732,             0.85693,             0.60236,             0.64121,             0.36029,            0.022101,            0.025554,           0.0042027,            0.008317,            0.008317,            0.008317
                  19,            0.023209,            0.031713,           0.0042456,             0.87818,             0.60725,             0.65192,             0.40863,            0.018437,            0.025344,           0.0033962,            0.008218,            0.008218,            0.008218
                  20,            0.021931,            0.032106,           0.0038191,             0.77314,             0.59902,             0.58522,             0.37167,            0.016636,             0.02429,           0.0031825,            0.008119,            0.008119,            0.008119
                  21,            0.021949,            0.031476,           0.0037533,             0.88753,             0.57127,             0.62431,              0.3542,            0.019103,            0.026756,           0.0031692,             0.00802,             0.00802,             0.00802
                  22,            0.022119,            0.032449,           0.0033806,             0.91093,             0.62472,             0.68581,             0.42669,            0.015686,            0.024097,           0.0028246,            0.007921,            0.007921,            0.007921
                  23,            0.020216,            0.031884,           0.0035301,              0.9054,             0.60332,             0.67289,             0.40745,              0.0197,            0.026389,           0.0027595,            0.007822,            0.007822,            0.007822
                  24,            0.021773,            0.030865,            0.003354,             0.89131,             0.59535,             0.66955,             0.39635,            0.018457,            0.025501,           0.0026982,            0.007723,            0.007723,            0.007723
                  25,            0.019643,            0.030824,           0.0031708,             0.88443,             0.63321,             0.68602,              0.4194,            0.016301,            0.025443,           0.0027185,            0.007624,            0.007624,            0.007624
                  26,            0.019937,             0.03087,           0.0031156,             0.94392,              0.6015,             0.68754,             0.43986,            0.016877,            0.025168,           0.0026995,            0.007525,            0.007525,            0.007525
                  27,            0.019034,            0.030285,           0.0031825,             0.94045,             0.62887,             0.70117,             0.40493,            0.014929,            0.025451,           0.0027384,            0.007426,            0.007426,            0.007426
                  28,            0.019375,            0.030156,           0.0029257,             0.95183,             0.62288,             0.70311,             0.44905,            0.013681,            0.024187,           0.0025124,            0.007327,            0.007327,            0.007327
                  29,            0.019294,            0.029915,           0.0030418,             0.94101,             0.62766,             0.69367,             0.44172,            0.015422,            0.023429,           0.0028875,            0.007228,            0.007228,            0.007228
                  30,            0.019003,            0.029642,           0.0029074,             0.87217,             0.60566,             0.65831,             0.39394,            0.016663,            0.025088,           0.0024474,            0.007129,            0.007129,            0.007129
                  31,            0.019385,            0.029571,           0.0029151,             0.94977,              0.6086,             0.69748,             0.44924,            0.012338,             0.02345,           0.0025844,             0.00703,             0.00703,             0.00703
                  32,            0.018611,            0.029505,           0.0028826,             0.96837,             0.61449,             0.70945,             0.41123,            0.014278,            0.024051,           0.0022916,            0.006931,            0.006931,            0.006931
                  33,            0.018701,            0.029045,           0.0025073,             0.56876,             0.71648,             0.66545,              0.3981,            0.014759,            0.024143,           0.0026012,            0.006832,            0.006832,            0.006832
                  34,            0.017025,            0.028544,           0.0025963,             0.92468,             0.61231,             0.68843,             0.44669,            0.013894,             0.02374,           0.0023338,            0.006733,            0.006733,            0.006733
                  35,            0.017624,            0.029425,           0.0024909,             0.93584,             0.61222,             0.67457,              0.4141,            0.013306,            0.023685,            0.002291,            0.006634,            0.006634,            0.006634
                  36,            0.017966,            0.029167,           0.0024794,             0.96907,              0.6124,             0.69884,             0.44311,            0.015271,            0.024484,           0.0022086,            0.006535,            0.006535,            0.006535
                  37,            0.017471,            0.028765,           0.0025213,             0.62254,              0.8172,             0.70331,             0.43659,            0.013165,            0.024016,            0.002343,            0.006436,            0.006436,            0.006436
                  38,            0.017328,            0.028512,           0.0023971,             0.96789,             0.61659,             0.69187,             0.45903,            0.012706,             0.02242,           0.0028298,            0.006337,            0.006337,            0.006337
                  39,            0.016537,            0.026878,           0.0024657,             0.96031,             0.59048,             0.70262,             0.45177,            0.013875,             0.02372,           0.0023955,            0.006238,            0.006238,            0.006238
                  40,            0.016721,             0.02775,           0.0023452,             0.95868,               0.622,             0.70421,             0.45241,            0.014107,            0.023676,           0.0021271,            0.006139,            0.006139,            0.006139
                  41,            0.015494,            0.028675,            0.002336,             0.59606,             0.81607,             0.70578,             0.45818,            0.012729,            0.023201,           0.0022712,             0.00604,             0.00604,             0.00604
                  42,            0.016656,            0.027803,            0.002232,             0.97981,             0.61397,             0.71316,             0.46233,             0.01403,            0.023383,           0.0021272,            0.005941,            0.005941,            0.005941
                  43,            0.016492,            0.027757,           0.0022717,             0.62494,             0.80304,             0.71492,             0.45464,            0.011743,            0.022808,           0.0020251,            0.005842,            0.005842,            0.005842
                  44,            0.016611,            0.027551,           0.0022893,             0.61756,             0.80059,             0.71269,             0.46707,            0.013628,            0.022914,           0.0021174,            0.005743,            0.005743,            0.005743
                  45,            0.014993,            0.027588,           0.0021776,             0.84055,             0.67117,             0.72067,             0.49163,            0.012764,            0.023098,           0.0020032,            0.005644,            0.005644,            0.005644
                  46,            0.015276,            0.027703,           0.0020339,             0.95391,             0.62149,             0.71358,             0.43445,            0.015809,            0.023942,           0.0019325,            0.005545,            0.005545,            0.005545
                  47,            0.015427,            0.028337,           0.0020364,             0.83091,             0.66952,             0.72492,             0.47532,            0.011978,            0.022865,           0.0019244,            0.005446,            0.005446,            0.005446
                  48,            0.015844,            0.027237,           0.0020376,             0.59949,             0.78058,             0.71123,             0.46758,            0.013109,             0.02334,           0.0018798,            0.005347,            0.005347,            0.005347
                  49,            0.015171,            0.026705,           0.0020226,             0.64793,             0.86857,             0.72604,             0.48607,             0.01037,            0.021945,           0.0018398,            0.005248,            0.005248,            0.005248
                  50,            0.014871,            0.027201,           0.0020009,             0.83792,             0.67353,             0.73874,             0.48667,            0.010585,            0.022023,           0.0056047,            0.005149,            0.005149,            0.005149
                  51,            0.014844,            0.025685,           0.0020621,              0.8104,             0.67636,             0.74013,             0.49036,            0.011788,            0.022984,           0.0034088,             0.00505,             0.00505,             0.00505
                  52,            0.013602,             0.02592,           0.0019976,             0.63038,             0.84129,             0.72887,             0.46804,            0.011308,            0.022691,           0.0030846,            0.004951,            0.004951,            0.004951
                  53,            0.014273,            0.025775,           0.0018879,             0.64435,             0.85897,             0.73635,             0.48547,            0.012353,            0.022796,           0.0018245,            0.004852,            0.004852,            0.004852
                  54,            0.013839,            0.026583,           0.0018715,             0.88752,             0.66822,             0.74017,             0.49205,            0.012262,            0.021985,           0.0017371,            0.004753,            0.004753,            0.004753
                  55,            0.013972,            0.025776,           0.0018505,             0.88968,             0.68458,              0.7462,             0.48679,             0.01053,            0.022156,           0.0017875,            0.004654,            0.004654,            0.004654
                  56,            0.013163,            0.025706,           0.0016714,             0.85177,             0.69639,             0.75589,             0.50577,             0.01069,             0.02179,           0.0016524,            0.004555,            0.004555,            0.004555
                  57,            0.013977,            0.026602,            0.001774,             0.91523,             0.68655,             0.75415,             0.52235,            0.010714,            0.021751,           0.0018298,            0.004456,            0.004456,            0.004456
                  58,            0.013439,            0.025376,           0.0016923,             0.86845,             0.70698,             0.76427,             0.51243,           0.0099594,            0.022372,           0.0016956,            0.004357,            0.004357,            0.004357
                  59,            0.013047,             0.02596,           0.0016854,             0.64979,             0.83583,             0.74236,             0.50193,           0.0098464,            0.022048,            0.001576,            0.004258,            0.004258,            0.004258
                  60,            0.013713,            0.024924,           0.0016116,             0.95148,             0.66187,             0.75041,             0.50404,            0.010584,            0.021924,           0.0015363,            0.004159,            0.004159,            0.004159
                  61,            0.013049,            0.025603,           0.0014896,              0.7275,             0.75812,             0.80222,             0.54109,            0.010187,            0.022127,           0.0015132,             0.00406,             0.00406,             0.00406
                  62,            0.012696,            0.024673,           0.0015045,             0.74604,             0.77141,             0.80961,              0.5463,            0.010299,            0.021889,            0.001444,            0.003961,            0.003961,            0.003961
                  63,            0.012462,              0.0247,           0.0015316,             0.80992,             0.77061,             0.83215,             0.56354,           0.0097091,            0.022015,           0.0015529,            0.003862,            0.003862,            0.003862
                  64,            0.012914,            0.024775,            0.001881,             0.87184,              0.8324,             0.87236,             0.59271,           0.0097195,            0.021751,           0.0020645,            0.003763,            0.003763,            0.003763
                  65,            0.012114,            0.024129,           0.0013855,             0.87066,              0.8581,             0.88391,             0.61927,           0.0092493,            0.021668,           0.0016553,            0.003664,            0.003664,            0.003664
                  66,            0.011954,            0.024237,           0.0019492,             0.90598,             0.85656,             0.88553,             0.62172,           0.0094105,            0.021976,           0.0012722,            0.003565,            0.003565,            0.003565
                  67,            0.011784,            0.023469,            0.001336,             0.94968,             0.85869,             0.90538,              0.6247,            0.010746,            0.022309,           0.0012558,            0.003466,            0.003466,            0.003466
                  68,             0.01183,            0.023861,           0.0012648,              0.9329,             0.86396,             0.89323,             0.63993,           0.0090246,            0.021731,           0.0012614,            0.003367,            0.003367,            0.003367
                  69,            0.011679,            0.023656,           0.0015512,              0.9358,             0.87432,              0.8959,             0.63919,           0.0087717,            0.021443,            0.001134,            0.003268,            0.003268,            0.003268
                  70,            0.011132,            0.023554,           0.0011679,             0.94126,             0.87946,             0.89936,             0.64271,           0.0089319,            0.021475,           0.0011237,            0.003169,            0.003169,            0.003169
                  71,            0.011434,            0.023849,           0.0010987,             0.95401,             0.88601,             0.89852,             0.64381,           0.0095635,             0.02146,            0.001058,             0.00307,             0.00307,             0.00307
                  72,            0.011485,            0.023641,           0.0010447,             0.93493,             0.87588,             0.89649,             0.63517,           0.0092569,            0.021473,            0.001093,            0.002971,            0.002971,            0.002971
                  73,            0.011159,            0.023325,           0.0010036,             0.94167,             0.88705,             0.90618,             0.64161,           0.0087536,             0.02144,           0.0010818,            0.002872,            0.002872,            0.002872
                  74,            0.010605,            0.023352,           0.0011559,             0.93406,             0.87571,             0.89854,             0.63809,           0.0091317,            0.021686,           0.0013822,            0.002773,            0.002773,            0.002773
                  75,            0.011176,            0.023765,           0.0011864,             0.93653,             0.89297,             0.91827,             0.64826,           0.0088897,            0.021358,           0.0013436,            0.002674,            0.002674,            0.002674
                  76,            0.010657,            0.022814,          0.00096822,             0.96001,              0.8846,             0.90973,             0.65402,           0.0089138,            0.021397,           0.0011555,            0.002575,            0.002575,            0.002575
                  77,            0.010212,            0.022813,          0.00099279,             0.94647,             0.86256,             0.90538,             0.64722,           0.0082493,            0.021228,           0.0013838,            0.002476,            0.002476,            0.002476
                  78,           0.0098917,            0.022737,          0.00086002,               0.956,             0.87196,              0.9091,             0.64878,           0.0083251,            0.021694,           0.0010906,            0.002377,            0.002377,            0.002377
                  79,            0.010221,             0.02302,          0.00090407,             0.94551,             0.88865,              0.9096,             0.65491,           0.0083173,            0.021572,          0.00099084,            0.002278,            0.002278,            0.002278
                  80,           0.0097066,            0.022847,          0.00095399,             0.94709,             0.88351,             0.91403,             0.64769,           0.0084288,            0.021639,          0.00099692,            0.002179,            0.002179,            0.002179
                  81,           0.0099254,            0.022115,           0.0011693,             0.93933,             0.88436,             0.91105,             0.65545,           0.0081964,            0.021327,           0.0010146,             0.00208,             0.00208,             0.00208
                  82,           0.0099778,            0.022412,          0.00095955,             0.94782,             0.87204,             0.89729,             0.64479,            0.008282,             0.02149,            0.000998,            0.001981,            0.001981,            0.001981
                  83,           0.0095122,             0.02212,          0.00080524,             0.96438,              0.8779,             0.91432,             0.64904,            0.008362,            0.021484,           0.0009642,            0.001882,            0.001882,            0.001882
                  84,           0.0095113,            0.022578,           0.0007956,             0.96259,             0.87816,             0.91289,             0.65715,           0.0080843,             0.02117,          0.00088545,            0.001783,            0.001783,            0.001783
                  85,           0.0089239,            0.022252,          0.00086079,             0.96128,              0.8769,             0.91508,             0.65161,           0.0081183,            0.021514,           0.0009274,            0.001684,            0.001684,            0.001684
                  86,           0.0091813,            0.022002,          0.00082381,             0.96385,             0.86721,             0.90997,             0.64458,           0.0079898,            0.021358,          0.00094525,            0.001585,            0.001585,            0.001585
                  87,           0.0087777,            0.021474,          0.00072484,             0.94691,             0.86513,             0.90672,             0.65096,           0.0080413,            0.021467,          0.00089307,            0.001486,            0.001486,            0.001486
                  88,           0.0091514,            0.021902,          0.00072122,             0.95575,             0.87854,             0.91804,             0.65365,           0.0077619,            0.021494,          0.00088509,            0.001387,            0.001387,            0.001387
                  89,           0.0086454,            0.021918,           0.0008064,             0.94647,             0.87229,             0.91917,              0.6522,           0.0079392,            0.021286,          0.00082312,            0.001288,            0.001288,            0.001288
                  90,            0.008617,            0.021649,          0.00074619,             0.94938,             0.88332,             0.91151,             0.64726,           0.0076656,            0.021435,          0.00085537,            0.001189,            0.001189,            0.001189
                  91,           0.0082203,            0.020941,          0.00076487,             0.93213,             0.88624,             0.91688,             0.65837,            0.007624,            0.021234,          0.00084107,             0.00109,             0.00109,             0.00109
                  92,           0.0081002,            0.021551,          0.00096285,             0.95573,             0.86979,             0.90726,             0.65027,           0.0076227,            0.021323,          0.00083728,            0.000991,            0.000991,            0.000991
                  93,           0.0081274,              0.0217,          0.00070733,             0.95908,             0.86813,              0.9096,             0.65032,           0.0077295,            0.021198,          0.00081646,            0.000892,            0.000892,            0.000892
                  94,           0.0079939,            0.021346,          0.00060959,             0.95936,             0.86943,             0.91083,             0.64826,           0.0077514,            0.021493,          0.00078136,            0.000793,            0.000793,            0.000793
                  95,           0.0082531,             0.02181,            0.001019,             0.95631,             0.87196,             0.91007,             0.64654,           0.0076491,            0.021563,          0.00077117,            0.000694,            0.000694,            0.000694
                  96,           0.0078568,            0.020844,          0.00073074,             0.95651,             0.87111,             0.91253,               0.652,           0.0074056,             0.02152,          0.00075009,            0.000595,            0.000595,            0.000595
                  97,           0.0079676,            0.021244,          0.00061481,             0.95732,             0.87134,             0.91239,              0.6605,           0.0075335,            0.021283,          0.00073226,            0.000496,            0.000496,            0.000496
                  98,           0.0077404,            0.021215,           0.0005778,             0.95604,             0.87271,             0.91147,             0.65681,           0.0074758,            0.021275,          0.00071712,            0.000397,            0.000397,            0.000397
                  99,           0.0077375,            0.020924,          0.00085465,             0.95832,             0.87623,             0.91082,             0.65381,           0.0075697,            0.021177,          0.00071052,            0.000298,            0.000298,            0.000298
